First Page Hotels
ID, Name , Rating , Price
1,Travelodge London Kings Cross Royal Scot,6.7,£129
2,Premier Inn London Wembley Stadium,8.6,£139
3,Premier Inn London Blackfriars (Fleet Street) Hotel,8.7,£155
4,The Level at Meliá White House,8.5,£231
5,Premier Inn London City Old Street,8.5,£136
6,The Montcalm Royal London House,8.8,£194
7,The Marylebone,8.7,£232
8,Park Lane Apartments,8.5,£360
9,The Portobello,8.5,£247
10,The Royal Horseguards,8.9,£218
11,London Marriott Hotel Maida Vale,7.9,£169
12,Hilton London Metropole,7.5,£195
13,The Principal London,8.0,£212
14,Good Hotel London,8.2,£128
15,ibis London Canning Town,8.8,£125
16,Premier Inn London Putney Bridge,8.4,£123
17,St. Pancras Renaissance Hotel London,8.6,£224
18,W London Leicester Square,8.2,£364
19,Park Plaza Westminster Bridge London,8.7,£202
20,Flemings Mayfair,8.4,£266
21,Nobu Shoreditch,8.6,£230
22,Millennium & Copthorne Hotels at Chelsea Football Club,8.0,£160
23,Holiday Inn London - Wembley,7.8,£180
24,88 Studios Kensington,8.7,£113
25,London Marriott Hotel Marble Arch,8.2,£231
